morpheme_nl,morpheme_en,concept,compositional_concept,pos,semantic_gender,syntactic_gender_nl,type,tense,aspect,number,inactive,is_cognate,is_false_friend,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
slapen,sleep,SLEEP,SLEEP,verb,,,anim-intrans,,,,,,,,,,
lachen,laugh,LAUGH,LAUGH,verb,,,anim-intrans,,,3rd_singular,,,,,,,
spelen,play,PLAY,PLAY,verb,,,anim-intrans,,,3rd_singular,,,,,,,
gaan,go,GO,GO,verb,,,anim-intrans,,,3rd_singular,,,,,,,
lopen,walk,WALK,WALK,verb,,,anim-intrans,,,3rd_singular,,,,,,,
rennen,run,RUN,RUN,verb,,,anim-intrans,,,3rd_singular,,,,,,,
springen,jump,JUMP,JUMP,verb,,,anim-intrans,,,3rd_singular,,,,,,,
kruipen,crawl,CRAWL,CRAWL,verb,,,anim-intrans,,,3rd_singular,,,,,,,
stuiteren,bounce,BOUNCE,BOUNCE,verb,,,anim-intrans,,,3rd_singular,,,,,,,
duwen,push,PUSH,PUSH,verb,,,transitive-motion,,,3rd_singular,,,,,,,
slaan,hit,HIT,HIT,verb,,,transitive-motion,,,3rd_singular,,,,,,,
dragen,carry,CARRY,CARRY,verb,,,transitive-motion,,,3rd_singular,,,,,,,
schuiven,slide,SLIDE,SLIDE,verb,,,transitive-motion,,,3rd_singular,,,,,,,
openen,open,OPEN,OPEN,verb,,,inanim-intrans,,,3rd_singular,,,,,,,
sluiten,close,CLOSE,CLOSE,verb,,,inanim-intrans,,,3rd_singular,,,,,,,
breken,break,BREAK,BREAK,verb,,,inanim-intrans,,,3rd_singular,,,,,,,
repareren,repair,REPAIR,REPAIR,verb,,,inanim-intrans,,,3rd_singular,,,,,,,
vallen,fall,FALL,FALL,verb,,,inanim-intrans,,,3rd_singular,,,,,,,
verdwijnen,disappear,DISAPPEAR,DISAPPEAR,verb,,,inanim-intrans,,,3rd_singular,,,,,,,
drijven,float,FLOAT,FLOAT,verb,,,inanim-intrans,,,3rd_singular,,,,,,,
verschijnen,appear,APPEAR,APPEAR,verb,,,inanim-intrans,,,3rd_singular,,,,,,,
dansen,dance,DANCE,DANCE,verb,,,anim-with-intrans,,,3rd_singular,,,,,,,
slapen,sleep,SLEEP,SLEEP,verb,,,anim-with-intrans,,,3rd_singular,,,,,,,
lachen,laugh,LAUGH,LAUGH,verb,,,anim-with-intrans,,,3rd_singular,,,,,,,
spelen,play,PLAY,PLAY,verb,,,anim-with-intrans,,,3rd_singular,,,,,,,
gaan,go,GO,GO,verb,,,anim-with-intrans,,,3rd_singular,,,,,,,
lopen,walk,WALK,WALK,verb,,,anim-with-intrans,,,3rd_singular,,,,,,,
rennen,run,RUN,RUN,verb,,,anim-with-intrans,,,3rd_singular,,,,,,,
springen,jump,JUMP,JUMP,verb,,,anim-with-intrans,,,3rd_singular,,,,,,,
kruipen,crawl,CRAWL,CRAWL,verb,,,anim-with-intrans,,,3rd_singular,,,,,,,
stuiteren,bounce,BOUNCE,BOUNCE,verb,,,anim-with-intrans,,,3rd_singular,,,,,,,
openen,open,OPEN,OPEN,verb,,,transitive,,,3rd_singular,,,,,,,
sluiten,close,CLOSE,CLOSE,verb,,,transitive,,,3rd_singular,,,,,,,
breken,break,BREAK,BREAK,verb,,,transitive,,,3rd_singular,,,,,,,
repareren,repair,REPAIR,REPAIR,verb,,,transitive,,,3rd_singular,,,,,,,
maken,make,MAKE,MAKE,verb,,,transitive,,,3rd_singular,,,,,,,
bakken,bake,BAKE,BAKE,verb,,,transitive,,,3rd_singular,,,,,,,
bouwen,build,BUILD,BUILD,verb,,,transitive,,,3rd_singular,,,,,,,
boetseren,mold,MOLD,MOLD,verb,,,transitive,,,3rd_singular,,,,,,,
beeldhouwen,sculpt,SCULPT,SCULPT,verb,,,transitive,,,3rd_singular,,,,,,,
vormen,shape,SHAPE,SHAPE,verb,,,transitive,,,3rd_singular,,,,,,,
koken,cook,COOK,COOK,verb,,,transitive,,,3rd_singular,,,,,,,
